"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"@aberanchri @constycastor Jajajaja típico argumento chairo",FALSE,0,"aberanchri",2018-06-13 17:44:28,FALSE,"1004614186457067526","1006955475890593792","137582397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","richarko",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@gochoalavidava Jajaja Memo Ochoa, llevo 12 años respetando a todos y ustedes jamás nos respetaron tuve que aguanta… https://t.co/WvouPmvbh5",FALSE,0,"gochoalavidava",2018-06-13 17:41:55,TRUE,"1006915773552422912","1006954833314627589","155048006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","doroteo70",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@Chanizz6 @JorgeGCastaneda @JoseAMeadeK Ay chairo ya quisieras tener una cuarta parte de conocimientos que tiene… https://t.co/WRGIyzCVz0",FALSE,0,"Chanizz6",2018-06-13 17:26:33,TRUE,"1006942768210509825","1006950967693201414","909275030575448066","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Josealanizv",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @CerCerhumano18: Chairo, pejezombie, amlover, pejechairo, pejesianico, mugroso, codos negros, huevón, nalgas prietas, primoroso, morenac…",FALSE,0,NA,2018-06-13 17:16:56,FALSE,NA,"1006948547839881217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiguelangelTec",220,TRUE,FALSE,NA,NA,"chairo","ideologia"
"@MiguelPenaflor @RicardoAnayaC @ferbelaunzaran @Jan_Herzog @AlvarezMaynez @marianagc @MichelPesquera @FeliFerMacias… https://t.co/HDdvEDOD3c",FALSE,0,"MiguelPenaflor",2018-06-13 17:05:02,TRUE,"1006788384197693440","1006945552699977731","58551627","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pauxenasenor",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"-Y ya ganas más de cuando EPN entró a la presidencia?
-Tomando en cuenta que en el 2012 aún no trabajaba, se podría… https://t.co/siPBD3SEJH",FALSE,0,NA,2018-06-13 16:57:03,TRUE,NA,"1006943544509116416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SerGio_Ole",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"Mexico chairo aqui su educacion milenian. https://t.co/ca4pvuQMhn",FALSE,0,NA,2018-06-13 16:54:03,FALSE,NA,"1006942786367651841",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","robertobonillam",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @Vampiroperver: @sopitas @Darth_Chairo Será la factura del relojito que le regaló su novio el gobernador de Queretaro? jajajjaja o las e…",FALSE,0,NA,2018-06-13 16:50:06,FALSE,NA,"1006941794381123584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vampiroperver",1,TRUE,FALSE,NA,NA,"chairo","ideologia"
"RT @marsanty: ""Dice Ricky Riquin Canallin alias Ricardo Anaya Cortés que ""un joven de un comunidad rural alejada podría tomar un curso en l…",FALSE,0,NA,2018-06-13 16:45:25,FALSE,NA,"1006940614632632321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrajoso",1,TRUE,FALSE,NA,NA,"chairo","ideologia"
"@AntiTelevisaMx Pues que debate viste chairo...",FALSE,0,"AntiTelevisaMx",2018-06-13 16:37:10,FALSE,"1006749861180567553","1006938539496476672","3227489102","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gonzalo57130108",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@iamgiortiz @ijavier19 @bandresmx @DiSMagnus @karl170910 @VerificadoMX No ilegal. El dinero se usó para lo que era.… https://t.co/4QNHKXzTDR",FALSE,1,"iamgiortiz",2018-06-13 16:36:52,TRUE,"1006936936114786306","1006938463910981632","261760434","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alejilloTol",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @luisitorey: Cuando hablas de política, hay respuestas que nunca fallan.
a) Te pagaron
b) Tu no deberías de hablar de eso.
c) Eres chair…",FALSE,0,NA,2018-06-13 16:35:27,FALSE,NA,"1006938105998381056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1208Haz",135,TRUE,FALSE,NA,NA,"chairo","ideologia"
"@Chiva74 @oapelaez Gracias a Dios no presumo solo hago lo que me toca hacer como mexicano, seguirme preparando y tr… https://t.co/GBdBu203mi",FALSE,0,"Chiva74",2018-06-13 16:30:07,TRUE,"1006926015958941696","1006936766585044992","99541190","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Efrain_iker",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@artdelat @roblesmaloof @RicardoAnayaC @lopezobrador_ Por cierto esas si son ""CHAQUETAS MENTALES"" y luego el chairo es uno <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"HmartinezOm",2018-06-13 16:29:46,FALSE,"1006936467745263616","1006936677951164416","2819014916","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HmartinezOm",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @Vampiroperver: @sopitas @Darth_Chairo Será la factura del relojito que le regaló su novio el gobernador de Queretaro? jajajjaja o las e…",FALSE,0,NA,2018-06-13 16:28:17,FALSE,NA,"1006936302191763456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inconformexican",1,TRUE,FALSE,NA,NA,"chairo","ideologia"
"@super_letii @RicardoAnayaC No es chairo, pero con el nivel de objetividad que tuvieron en el debate ¿Crees que van a presentar algo serio?",FALSE,0,"super_letii",2018-06-13 16:04:43,FALSE,"1006930114079281154","1006930374512046082","154749436","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","No_mellamo_mart",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@No_mellamo_mart @RicardoAnayaC Wey, si hace una aseveración así nivel “si te muestro los contratos renuncias a la… https://t.co/Z5UPaJ8KRp",FALSE,1,"No_mellamo_mart",2018-06-13 16:03:41,TRUE,"1006909004839301120","1006930114079281154","420520471","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","super_letii",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"1/3. Yo votaré MORENA. Mi razón y corazón laten de ese lado. Siempre! Pero no soy chairo. Si las intervenciones hub… https://t.co/vIbSLxSKW8",FALSE,0,NA,2018-06-13 16:00:20,TRUE,NA,"1006929268855721984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elgatica",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@fotupi07 Vete a cantinflear a otro lado chairo!",FALSE,0,"fotupi07",2018-06-13 15:46:52,FALSE,"1006902772493582336","1006925882550697984","272520189","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eric_m7",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @sukuzu: Mí chairo interno puede permitir que se burlen del bronceado de mi viejecito hermoso, pero que hablen mal y se burlen de mi Mae…",FALSE,0,NA,2018-06-13 15:44:50,FALSE,NA,"1006925368907980801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dulcemend87",7,TRUE,FALSE,NA,NA,"chairo","ideologia"
"A ver chaíro defiende eso? https://t.co/nJMTGHasUt",FALSE,0,NA,2018-06-13 15:35:56,FALSE,NA,"1006923129044680704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azteka_stallion",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@MexVision @RicardoAnayaC Jajajajajajajaajajajajajajaa a parte de chairo inútil https://t.co/De2X1MN0Os",FALSE,0,"MexVision",2018-06-13 15:29:39,FALSE,"1006858004225019904","1006921546470850560","934870179825242113","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArmSerrot",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@pikotitos @liatrueba @Fredy86141479 @_on_toy_ Y tú que puto te lees ofendiendo mujeres, pinche chairo cobarde y pendejo.",FALSE,1,"pikotitos",2018-06-13 15:25:36,FALSE,"1006914678239518720","1006920528676847616","297175463","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EduardoBlanes",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"""Dice Ricky Riquin Canallin alias Ricardo Anaya Cortés que ""un joven de un comunidad rural alejada podría tomar un… https://t.co/7FBymvOkRV",FALSE,2,NA,2018-06-13 15:25:23,TRUE,NA,"1006920476067876864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","marsanty",1,FALSE,FALSE,NA,NA,"chairo","ideologia"
"@Ulises_JuCs Compa, cada vez que entro por acá, me percato que eres peor que un chairo promedio <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> pero así te quiero <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",FALSE,1,"Ulises_JuCs",2018-06-13 15:13:59,FALSE,"1006916269080076288","1006917604240392193","102887229","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhrizRenton",0,FALSE,FALSE,NA,NA,"chairo","ideologia"
"RT @Dannyfbss: No amigo, ni votar por AMLO te hace un chairo, ni Anaya te da un status social alto.",FALSE,0,NA,2018-06-13 15:13:25,FALSE,NA,"1006917462514917376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LionelHuzt",4,TRUE,FALSE,NA,NA,"chairo","ideologia"
"RT @CarlosTorresF_: Cuando un chairo te hable de:

<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9>La estrategia fallida de seguridad, recuérdale que en Morena ya está Enrique Galindo;
<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9>…",FALSE,0,NA,2018-06-13 15:02:29,FALSE,NA,"1006914710808223745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAngelAlcazarE",1170,TRUE,FALSE,NA,NA,"chairo","ideologia"
"RT @rosascantue: A todos los panistas tan indignados ahora por la #SEIDO les recuerdo el desafuero de 2005. Que feo usar a la PGR contra un…",FALSE,0,NA,2018-06-13 14:55:59,FALSE,NA,"1006913075214213121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Darth_Chairo",9,TRUE,FALSE,NA,NA,"chairo","ideologia"
"RT @11Ricko: @RicardoAnayaC  https://t.co/7kr76lHiZO",FALSE,0,NA,2018-06-13 14:49:02,FALSE,NA,"1006911326558543872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Darth_Chairo",17,TRUE,FALSE,NA,NA,"chairo","ideologia"
