"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"Q poca tu inche madre las mujeres no te importa, solo el pinche fut bol, pedazo de puerko judío https://t.co/PyoF4MExG2",FALSE,0,NA,2018-06-13 14:49:13,FALSE,NA,"1006911374981726209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eddyxe1qeg1",0,FALSE,FALSE,NA,NA,"pinche_judio","religion"
"Pinche judío irlandés, burguésillo de porquería  mexicano pi-rata, q va a saber de la realidad del pueblo https://t.co/0X4u6EFJlW",FALSE,0,NA,2018-06-13 04:20:36,FALSE,NA,"1006753175708295168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eddyxe1qeg1",0,FALSE,FALSE,NA,NA,"pinche_judio","religion"
"Creativo y honesto no como el pinche del judio de Carlos Alazraki, mierda de productor https://t.co/2zJbQHhotl",FALSE,1,NA,2018-06-04 16:38:20,FALSE,NA,"1003677342013636609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RogelioPdmu",0,FALSE,FALSE,NA,NA,"pinche_judio","religion"
"@Patriciomonero @cesamo70 @lopezobrador_ No mames, ya tuvimos suficiente con los del 2012 y con los testículos de j… https://t.co/5GWeKdBZwU",FALSE,2,"Patriciomonero",2018-06-10 21:05:19,TRUE,"1005890206350753792","1005918857549119488","79576754","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juancarlosleonc",0,FALSE,FALSE,NA,NA,"testiculos_jehova","religion"
"#SheinbaumEsTanFea como abrirle la puerta a los testículos de jehova.",FALSE,0,NA,2018-06-05 22:59:49,FALSE,NA,"1004135734419345408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UnBetoSk8",0,FALSE,FALSE,NA,NA,"testiculos_jehova","religion"
"RT @MisaelVlog: Qué onda con todos queriendo convencerte de votar por uno u otro candidato? Ya que llegue el día de votar , libre y secreta…",FALSE,0,NA,2018-06-13 09:19:36,FALSE,NA,"1006828421677240320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Njim66Jr",1,TRUE,FALSE,NA,NA,"testigos_jehova","religion"
"Qué onda con todos queriendo convencerte de votar por uno u otro candidato? Ya que llegue el día de votar , libre y… https://t.co/nuZIJJvmLh",FALSE,8,NA,2018-06-13 07:19:30,TRUE,NA,"1006798200181796865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MisaelVlog",1,FALSE,FALSE,NA,NA,"testigos_jehova","religion"
"@ingceniceros @EmmanuelPanizzo @Tuitoloco1 @jramonleone @craviotocesar @lopezobrador_ No entienden !!!! Son peores… https://t.co/qFXlmpA7tZ",FALSE,1,"ingceniceros",2018-06-13 00:51:18,TRUE,"1006622334701236225","1006700502686535680","2740154854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cachetitos75",0,FALSE,FALSE,NA,NA,"testigos_jehova","religion"
"Daniel 1 - Traducción del Nuevo Mundo (Testigos de Jehová)

2. Con el tiempo, Jehová dio en su mano a Jehoiaquim el… https://t.co/bIYdEhR7ep",FALSE,0,NA,2018-06-12 23:09:09,TRUE,NA,"1006674797097410560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DominguLara",0,FALSE,FALSE,NA,NA,"testigos_jehova","religion"
"Génesis 1 - Traducción del Nuevo Mundo (Testigos de Jehová)
Daniel y sus compañeros en Babilonia
1. En el año terce… https://t.co/ud3FnwpOgO",FALSE,0,NA,2018-06-12 23:07:53,TRUE,NA,"1006674477080444928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DominguLara",0,FALSE,FALSE,NA,NA,"testigos_jehova","religion"
"@gray_whale @CosmonautaDF @hdemauleon @FEPADE_Mex @INEMexico @EPN Que no se metieron, se quedaron en la puerta como testigos de (pe)Jehová!",FALSE,1,"gray_whale",2018-06-12 16:40:14,FALSE,"1006576425896300545","1006576925085749248","107566581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pepebelmont",0,FALSE,FALSE,NA,NA,"testigos_jehova","religion"
