"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"@DiegoKermit @cappukeeki TE ENTIENDO, es como yo con el ""naco"" que me causa unas náuseas... pero neta que lo hago c… https://t.co/FN6U6irtQP",FALSE,0,"DiegoKermit",2018-06-13 17:29:08,TRUE,"1006950385368600576","1006951618590326785","86873845","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abejaconmiel",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"RT @clauivette86: Este naco (porque alguien que hace esto lo es) anda vendiendo perros. Lacras vividoras, igual y hasta lo robó. Si alguien…",FALSE,0,NA,2018-06-13 17:00:37,FALSE,NA,"1006944439456104449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miiRiiam_kaz",4,TRUE,FALSE,NA,NA,"naco","apariencia"
"@jalejandrohh Es súper naco creer que la gente pobre es naca, la gente naca es la gente sin educación.",FALSE,0,"jalejandrohh",2018-06-13 16:32:39,FALSE,"1006937202851504133","1006937403309912065","813496570129707008","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","all_too_well01",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"Me cagan todos con su pinche futbol naco.",FALSE,0,NA,2018-06-13 15:59:49,FALSE,NA,"1006929141986455554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tufrutafav1",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"Si eres un naco no voy a darte importancia y solo voy a bloquearte, mi tiempo es muy valioso como para desperdiciarlo en gentuza <U+2764><U+FE0F>",FALSE,2,NA,2018-06-13 15:31:48,FALSE,NA,"1006922088156991491",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mika_Lust",1,FALSE,FALSE,NA,NA,"naco","apariencia"
"Te mamaste @SpotifyMexico con tu Mexico’s Lucky Song del Mundial

¿La Dosis Perfecta? ¿Carlos Rivera? ¿Kinky?

Así… https://t.co/6Q9lHPut6J",FALSE,0,NA,2018-06-13 15:05:17,TRUE,NA,"1006915417472884736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndresCastillo5",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"@LuisEduardoGu10 @Cruz_Azul_FC @EstadioAzteca Carnal?? Pff que naco. Cuídate y suerte galán de barrio <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>",FALSE,0,"LuisEduardoGu10",2018-06-13 14:42:11,FALSE,"1006909128931827713","1006909604570132480","1021037510","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisAlbertoRea5",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"Oigan, ¿les parece profesional entregar cosas engargoladas? A mi se me hace todo naco pero igual estoy mal.",FALSE,3,NA,2018-06-13 14:41:12,FALSE,NA,"1006909356519010312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nana_wine",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"@LuisEduardoGu10 @Cruz_Azul_FC @EstadioAzteca Yo naco jajaja. En dónde me viste la mezcla jajaja",FALSE,4,"LuisEduardoGu10",2018-06-13 14:36:36,FALSE,"1006903914581463041","1006908198240989184","1021037510","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisAlbertoRea5",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"Aparte de naco, chairo. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2018-06-13 14:35:57,FALSE,NA,"1006908032691920896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iBaigts",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"RT @BichitaRaRa: @ReubenGuerrero6 @PaolaRojas @LRZague Admite que te estas comportando como un naco borrego, perdon.
Si no tienes nada inte…",FALSE,0,NA,2018-06-13 14:34:44,FALSE,NA,"1006907726595751937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abrahamzuniga1",1,TRUE,FALSE,NA,NA,"naco","apariencia"
"@ReubenGuerrero6 @PaolaRojas @LRZague Admite que te estas comportando como un naco borrego, perdon.
Si no tienes na… https://t.co/uNfhvXK1nm",FALSE,3,"ReubenGuerrero6",2018-06-13 14:33:30,TRUE,"1006903797438771205","1006907417601327105","1004451173582004224","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BichitaRaRa",1,FALSE,FALSE,NA,NA,"naco","apariencia"
"@ArielOrdu @CynthiLD Naco igualado <ed><U+00A0><U+00BC><ed><U+00BC><U+009A>",FALSE,0,"ArielOrdu",2018-06-13 14:31:02,FALSE,"1006891015888887808","1006906797746282497","928860217","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielaEchh",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"Que naco agarrar a tu novia a besos cuando puedes agarrartela a sentones!! <U+2764><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+0088>",FALSE,0,NA,2018-06-13 14:21:41,FALSE,NA,"1006904443718250496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SAUROMLBR",0,FALSE,FALSE,NA,NA,"naco","apariencia"
"RT @bdwhores: ‘’Naco’’ al que que le faltan valores... el dinero que.",FALSE,0,NA,2018-06-13 14:09:55,FALSE,NA,"1006901481377632262",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iangelrojas",322,TRUE,FALSE,NA,NA,"naco","apariencia"
"@VicaEsVa Me puedes decir naco, no me ofende. Pero no soy corrupto.",FALSE,0,"VicaEsVa",2018-06-13 12:06:53,FALSE,"1006749765906780160","1006870520539774976","237060918","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","martibatres",0,FALSE,FALSE,NA,NA,"naco","apariencia"
