"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"Son el reflejo del candidato que tanto defienden y apoyan, son el reflejo de la intolerancia y la discriminación de… https://t.co/V2Qgt070xc",FALSE,0,NA,2018-06-13 17:27:25,TRUE,NA,"1006951184727453696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mauambrizgtz",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"No soy ciego me ago el ciego para ver asta donde llega",FALSE,0,NA,2018-06-13 17:24:41,FALSE,NA,"1006950497142689792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbrahamBGP",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"No hay peor ciego que el que ya vio la realidad y decide volver a cerrar los ojos..",FALSE,5,NA,2018-06-13 17:16:04,FALSE,NA,"1006948327760515075",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GusstaWedeman",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"@Geo_Gonzalez @warkentin Yo también me sumó al comentario de @carpinteyro_f , le doy crédito porque no quiero que s… https://t.co/VxZ0A5B7ms",FALSE,0,"Geo_Gonzalez",2018-06-13 17:13:33,TRUE,"1006738993671573504","1006947696656068608","124195329","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Samy666",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"RT @CulturaCDMX: Un futuro ciego, opaco y mudo es lo que nos presenta la obra “En la ruina de los náufragos”, se presentará hoy en el #Foro…",FALSE,0,NA,2018-06-13 17:07:15,FALSE,NA,"1006946108399063041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aLyrVega",2,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"@constantine8002 @VerificadoMX @alcantara_marco Ciego!",FALSE,0,"constantine8002",2018-06-13 17:05:43,FALSE,"1006913542031888385","1006945723953315842","579343687","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lourdes84520728",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"RT @CulturaCDMX: Un futuro ciego, opaco y mudo es lo que nos presenta la obra “En la ruina de los náufragos”, se presentará hoy en el #Foro…",FALSE,0,NA,2018-06-13 16:43:16,FALSE,NA,"1006940073349271554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeatrosCDMX",2,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"Un futuro ciego, opaco y mudo es lo que nos presenta la obra “En la ruina de los náufragos”, se presentará hoy en e… https://t.co/vY9pDrjB9A",FALSE,4,NA,2018-06-13 16:40:13,TRUE,NA,"1006939305980424193",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CulturaCDMX",2,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"@losexpulsados Sorteos comprados? Jajajaja MAMITA se debe estar ciego para decir esto. Se ganó 3 Champions seguidas… https://t.co/iYyMV980S6",FALSE,1,"losexpulsados",2018-06-13 16:28:50,TRUE,"1006934964066246656","1006936441816076288","443476665","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gangstaaaas",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"RT @InakyT: Ya lo perdimos, desencajado, incómodo y visiblemente molesto, dando palos de ciego <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9> https://t.co/Kp76n9J3TI",FALSE,0,NA,2018-06-13 16:19:36,FALSE,NA,"1006934119517786112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Socratesmr",1,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"@carrenopol A veces en realidad no se te pierden, solo te los quitas y como estás bien pinche ciego, no alcanzas a… https://t.co/4zvO85pRwZ",FALSE,2,"carrenopol",2018-06-13 16:19:26,TRUE,"1006922728589258752","1006934075746201601","44493548","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanSopus",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"RT @yimboroyimboro: En donde estaban esos diputados panistas q no denunciaron Estafa Maestra, moches Odebrech, desvíos de Calderón; corrupt…",FALSE,0,NA,2018-06-13 16:15:02,FALSE,NA,"1006932968307191808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","viovisa",24,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"De la vista nace el amor; pero luego dicen que el amor es ciego.

No estoy entendiendo nada.",FALSE,20,NA,2018-06-13 15:26:44,FALSE,NA,"1006920814858555393",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Thinkmario",1,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"ya leíste #JoseAMeadeK ,no te hagas, tienes mas lastres o igual que cualquier político ciego, mudo, sordo que nada… https://t.co/BMu5KTRM3e",FALSE,0,NA,2018-06-13 15:18:39,TRUE,NA,"1006918780990128129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","poxianohl",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"""No hay peor ciego que el que no quiere ver...""",FALSE,0,NA,2018-06-13 15:18:23,FALSE,NA,"1006918712148946945",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","annikmr",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"ASESINO CIEGO ,EL MARGARET ATWOOD    SIGMARLIBROS https://t.co/wyl46Je6AK",FALSE,0,NA,2018-06-13 15:08:24,FALSE,NA,"1006916200641761280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sigmarlibros",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"@El_Universal_Mx @lopezobrador_ @RicardoAnayaC Una muestra más de que el PG dista mucho de ser honesto. No hay peor… https://t.co/CC9JfOZQIb",FALSE,0,"El_Universal_Mx",2018-06-13 14:25:16,TRUE,"1006901503276142593","1006905347401891841","16676396","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsraOrtiz_O",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"@pilaresmetepec @PGR_mx Jajaja jajaja jajaja jajaja

No hay peor ciego que el que no quiere ver.

?Usted segurament… https://t.co/nBDhji3K0H",FALSE,0,"pilaresmetepec",2018-06-13 14:22:35,TRUE,"1006873258518446080","1006904672462999554","2319281183","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","metricareports",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"No hay peor ciego que el que no quiere ver, la gente sabe cómo está la situación y se hacen los locos, así como se… https://t.co/IhNwiCTtmO",FALSE,0,NA,2018-06-13 14:21:09,TRUE,NA,"1006904309454462976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juanferrer88",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"RT @AleEtchevarri: El amor es ciego, clama Shakespeare. Yo lo desafío, cuando amamos vemos al otro tan nítidamente como lo ve Dios... Yo te…",FALSE,0,NA,2018-06-13 14:16:30,FALSE,NA,"1006903137855156225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biaanel",16,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"RT @yimboroyimboro: En donde estaban esos diputados panistas q no denunciaron Estafa Maestra, moches Odebrech, desvíos de Calderón; corrupt…",FALSE,0,NA,2018-06-13 14:11:56,FALSE,NA,"1006901992470478848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Withwolf2",24,TRUE,FALSE,NA,NA,"ciego","discapacidad"
"@m_ebrard Ya no te metas drogas Marcelo, tu patrón no tiene idea ni de la O por lo redondo, todos lo vimos, si tú q… https://t.co/uhxzxc10Hq",FALSE,2,"m_ebrard",2018-06-13 13:33:57,TRUE,"1006748965256167424","1006892430887546881","64798737","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElPapideacero",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
"@JesusMartinMx Mira Martín, esta por demás hacer a los zombies que razonen su voto. No hay peor ciego que el que no… https://t.co/3pQarbBusu",FALSE,2,"JesusMartinMx",2018-06-13 12:26:57,TRUE,"1006854513570074624","1006875570876141568","240009565","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","chihua56",0,FALSE,FALSE,NA,NA,"ciego","discapacidad"
