"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"@AvecesPolly @abelmaraguilar Me caga pinche viejo pendejo. Hahaha no es cierto amigo, así nos demostramos nuestro amor. <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4>",FALSE,0,"AvecesPolly",2018-06-13 16:56:51,FALSE,"1006941365228523525","1006943492696887296","216261022","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Axl_LC",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Max_ozaa @elnarrador Y exactamente dónde está lo pendejo de esta respuesta. El estadio es viejo, tiene fugas de ag… https://t.co/9TkcPZnGyC",FALSE,1,"Max_ozaa",2018-06-13 16:50:16,TRUE,"1006922372497092608","1006941836059947008","474073874","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","albertoviruete",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Irma_Sandoval @eMSir_Mauricio @JoseAMeadeK @JimenezEspriu Pues si pinché viejo @JoseAMeadeK  mentiroso ladron de cuello blanco",FALSE,0,"Irma_Sandoval",2018-06-13 16:45:43,FALSE,"1006902290492506112","1006940691484770309","213431242","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RamParra",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@jorgevergara @pepecardozo249 @Amauryvz @Chivas 3 fechas después fuera conociendo a este pinche viejo cara de culo… https://t.co/A0ujTTzYdg",FALSE,0,"jorgevergara",2018-06-13 14:57:07,TRUE,"1006894637418729472","1006913360619823105","18667167","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hsalasp",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ Callate pinche viejo ridiculo, efectivamente @MexicoAMLO sera tu nuevo presidente...!!",FALSE,0,"VicenteFoxQue",2018-06-13 07:32:55,FALSE,"1006728282958688256","1006801576575500288","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XAVIERKITTUX3",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"RT @NortonMoon: Con este debate tres pendejos y un pinché  viejito loco que va por su tercer sexenio como prejidente lejitimo ni hablar nos…",FALSE,0,NA,2018-06-13 05:40:34,FALSE,NA,"1006773298888413185",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","krlos6977",1,TRUE,FALSE,NA,NA,"pinche_viejo","edad"
"Con este debate tres pendejos y un pinché  viejito loco que va por su tercer sexenio como prejidente lejitimo ni ha… https://t.co/KuxDHwoAuE",FALSE,2,NA,2018-06-13 05:39:08,TRUE,NA,"1006772940892004352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NortonMoon",1,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ Pinche viejo bolsa!",FALSE,0,"VicenteFoxQue",2018-06-13 05:04:52,FALSE,"1006726152529031170","1006764314571796480","166669818","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OscarsanchezBen",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@JoseAMeadeK Primero arregla las escuelas para dar educación de calidad. Mira @aurelionuno tu gastando en tu pinche… https://t.co/9BQIQ26tjX",FALSE,3,"JoseAMeadeK",2018-06-13 04:58:17,TRUE,"1006761116964409345","1006762658555727872","237372254","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elbeberantonio",1,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ Cállese pinche viejo, hable de los Bribiesca y sus corruptelas mejor...",FALSE,0,"VicenteFoxQue",2018-06-13 04:48:17,FALSE,"1006728282958688256","1006760143000821760","166669818","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","javi_neor",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Encuestados_Mx @lopezobrador_ Pinche viejo señil ahora finjes demensia como cuando te autosecuestraste jajajajjaa",FALSE,0,"Encuestados_Mx",2018-06-13 04:28:56,FALSE,"1006703316724690944","1006755274441584640","971882395363303424","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ajbahena1",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@El_Universal_Mx @lopezobrador_ @RicardoAnayaC Pinche viejo es un lobo de mar, abusados con el..",FALSE,0,"El_Universal_Mx",2018-06-13 03:51:23,FALSE,"1006730041819004928","1006745823500226560","16676396","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gonzalo57130108",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Esto es tema viejo pero qué pinche horrible es la sonrisa de Anaya, alguien le hizo mucho daño.",FALSE,3,NA,2018-06-13 03:45:22,FALSE,NA,"1006744308005920768",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bass1L",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Que diga donde cuestan 15 pesos los medicamentos para diabetes. Pinché viejo loco.",FALSE,1,NA,2018-06-13 03:41:24,FALSE,NA,"1006743313280655365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","achavezgtz",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Jajajaja pinche viejo necio",FALSE,9,NA,2018-06-13 03:34:44,FALSE,NA,"1006741634917097472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArturoUriza",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@patipenaloza @RicardoAnayaC Jijiji. Gocé la cara del pinche viejo. En sus palabras: ""serénese"". Jajajaja",FALSE,0,"patipenaloza",2018-06-13 03:25:04,FALSE,"1006735738749190144","1006739200165793798","81711979","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","memosomething",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@fernandeznorona @RicardoAnayaC Toma puto! Ya se cargaron a tu pinche viejo decrépito!",FALSE,0,"fernandeznorona",2018-06-13 03:20:32,FALSE,"1006737533621841922","1006738059554181120","43115590","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrankieBally",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinche viejo para él la tecnología es tallar en piedra <ed><U+00A0><U+00BE><ed><U+00B4><U+00AC> https://t.co/BdpieRWWs1",FALSE,0,NA,2018-06-13 03:17:03,FALSE,NA,"1006737182017638401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sagras",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@fernandeznorona @lopezobrador_ Jajajajaja pinche viejo obsoleto!",FALSE,0,"fernandeznorona",2018-06-13 03:16:12,FALSE,"1006736773437779972","1006736968531824640","43115590","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrankieBally",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"#DebateINE y mi viejo que es norteño dice ""Pinche Bronco botas miadas!!!"" <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>",FALSE,1,NA,2018-06-13 03:14:05,FALSE,NA,"1006736435758522369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dianent",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"El Bronco y sus ganas de eliminar el asistencialismo. El más pinche viejo discurso de quien tiene dinero, los pobre… https://t.co/HYbQQW9lqt",FALSE,0,NA,2018-06-13 03:13:27,TRUE,NA,"1006736278140981248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therwebel",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Bohaliciousss ah pinche viejo, no sabes otra cosa más que la corrupción y sacar encuestas?",FALSE,0,"Bohaliciousss",2018-06-13 02:54:54,FALSE,NA,"1006731610492989440","2393887526","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gunnerazul7",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinche viejo mierda.",FALSE,0,"lucyjardong",2018-06-13 02:51:17,FALSE,"1006730645022957568","1006730700815384576","122890750","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucyjardong",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ Foxito pinche Viejo Ridículo",FALSE,0,"VicenteFoxQue",2018-06-13 02:48:40,FALSE,"1006728282958688256","1006730041760284673","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eduardoimagine",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ Oye chachalaca, tu a quién quieres de presidente? A @JoseAMeadeK  o a @RicardoAnayaC… https://t.co/FQ0ONAlU4Q",FALSE,1,"VicenteFoxQue",2018-06-13 02:47:43,TRUE,"1006728282958688256","1006729801816780802","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dn_vargas",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @lopezobrador_ La misma mierda pinche viejo decrépito",FALSE,0,"VicenteFoxQue",2018-06-13 02:40:42,FALSE,"1006726152529031170","1006728034471170049","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joema602",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinches chairos el primer corrupto es su pinche viejo PENDEJOOOOOOOOO....#LopezASuRanchoALaChingada ........#OdioAYaSabesQuien ......",FALSE,0,NA,2018-06-13 02:39:34,FALSE,NA,"1006727752689389568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lajirafadeqro",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinche viejo PENDEJOOOOOOOOO....si es el primer corrupto.......#LopezASuRanchoALaChingada",FALSE,0,NA,2018-06-13 02:35:04,FALSE,NA,"1006726616528052224",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lajirafadeqro",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@NTelevisa_com @lopezobrador_ Pinche viejo mamon !!",FALSE,0,"NTelevisa_com",2018-06-13 02:30:24,FALSE,"1006725097250545664","1006725443536523267","25401359","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leyva53",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"El bronco sacando el cel a escondidas. PINCHE VIEJO MAÑOSO.",FALSE,0,NA,2018-06-13 02:27:06,FALSE,NA,"1006724613668265984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Misael_Pelayo",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
