,full_text,categoria
0,"@Theclonne Precisamente por eso es jodido, pero bueno a sentir como siempre nos ha hecho sentir sus temas",apariencia
1,"@stonerbrunch Es un gremio jodido, mucha mafia, no se van a poner de acuerdo, aqui tenemos el monumento al sanguche de milanesa y la fiesta provincial ... Le dejo un video
https://t.co/4Pqqf8HUlx",apariencia
2,@jgnaredo @epigmenioibarra @CiroGomezL Huy si. Ya sabemos la calidad de periodismo de ese pinche naco dizque productor de narco churros... Esta igual que el otro pinche naco que no toca el jabon desde hace como diez anos. Un tal @jgnaredo,apariencia
3,"@Yoshio_Lara No soy bot y soy fan de Pena Nieto.

Y bueno, tambien de Calderon.

Jodido tienes el intelecto ! Imaginate de seguir asi, para donde vas [?] https://t.co/mJcEnLQmew",apariencia
4,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
5,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
6,Naco entero recibe a Margarita Cedeno a cacerolazos desde los edificios cuando fue a votar al Colegio San Judas Tadeo. Adentro le gritan #SeVan https://t.co/FuGPA4QQwh,apariencia
7,"@reforma2006 @Beengfui @Rodrocente212 Deberias estar agradecido tu jefe y camarilla eso son Nazis lo unico es que se les puso el simil, estan lobotomizados ustedes, por eso Mexico esta jodido por hacerle casona #epigoebbels",apariencia
8,@Valentina17RM Chacha,apariencia
9,Lo jodido es que las personas que mas dicen quererte son las que mas te lastiman...,apariencia
10,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
11,"@BeatrizGMuller ?Por que es un pendejo, ladron, corrupto, miserable, hipocrita, engana pendejos, soberbio, acomplejado, naco, ganan, ignorante, estupido, farsante, populista, idiota, asno, maquiavelico, cabron, mierda, hablador,  ineficiente? Hay todavia mucho mas detras del ""por algo sera"". ",apariencia
12,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
13,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
